"code","crime","arrest","count","year","gu"
11110,"폭력","발생",2307,2018,"서울특별시 종로구"
11140,"폭력","발생",1955,2018,"서울특별시 중구"
11410,"폭력","발생",2702,2018,"서울특별시 서대문구"
11170,"폭력","발생",3156,2018,"서울특별시 용산구"
11290,"폭력","발생",2062,2018,"서울특별시 성북구"
11230,"폭력","발생",3257,2018,"서울특별시 동대문구"
11440,"폭력","발생",3852,2018,"서울특별시 마포구"
11560,"폭력","발생",4308,2018,"서울특별시 영등포구"
11200,"폭력","발생",2501,2018,"서울특별시 성동구"
11590,"폭력","발생",2827,2018,"서울특별시 동작구"
11215,"폭력","발생",3084,2018,"서울특별시 광진구"
11380,"폭력","발생",1983,2018,"서울특별시 은평구"
11305,"폭력","발생",3298,2018,"서울특별시 강북구"
11545,"폭력","발생",3088,2018,"서울특별시 금천구"
11260,"폭력","발생",3757,2018,"서울특별시 중랑구"
11680,"폭력","발생",3364,2018,"서울특별시 강남구"
11620,"폭력","발생",3819,2018,"서울특별시 관악구"
11500,"폭력","발생",3795,2018,"서울특별시 강서구"
11530,"폭력","발생",4002,2018,"서울특별시 구로구"
11650,"폭력","발생",3084,2018,"서울특별시 서초구"
11470,"폭력","발생",3181,2018,"서울특별시 양천구"
11710,"폭력","발생",4311,2018,"서울특별시 송파구"
11350,"폭력","발생",3557,2018,"서울특별시 노원구"
11320,"폭력","발생",2525,2018,"서울특별시 도봉구"
11110,"폭력","발생",2418,2017,"서울특별시 종로구"
11140,"폭력","발생",2061,2017,"서울특별시 중구"
11410,"폭력","발생",2874,2017,"서울특별시 서대문구"
11170,"폭력","발생",3579,2017,"서울특별시 용산구"
11290,"폭력","발생",2203,2017,"서울특별시 성북구"
11230,"폭력","발생",3447,2017,"서울특별시 동대문구"
11440,"폭력","발생",3871,2017,"서울특별시 마포구"
11560,"폭력","발생",4388,2017,"서울특별시 영등포구"
11200,"폭력","발생",2757,2017,"서울특별시 성동구"
11590,"폭력","발생",2898,2017,"서울특별시 동작구"
11215,"폭력","발생",3344,2017,"서울특별시 광진구"
11380,"폭력","발생",2102,2017,"서울특별시 은평구"
11305,"폭력","발생",3354,2017,"서울특별시 강북구"
11545,"폭력","발생",3072,2017,"서울특별시 금천구"
11260,"폭력","발생",4056,2017,"서울특별시 중랑구"
11680,"폭력","발생",3427,2017,"서울특별시 강남구"
11620,"폭력","발생",4350,2017,"서울특별시 관악구"
11500,"폭력","발생",4114,2017,"서울특별시 강서구"
11530,"폭력","발생",4025,2017,"서울특별시 구로구"
11650,"폭력","발생",3087,2017,"서울특별시 서초구"
11470,"폭력","발생",3346,2017,"서울특별시 양천구"
11710,"폭력","발생",4205,2017,"서울특별시 송파구"
11350,"폭력","발생",3676,2017,"서울특별시 노원구"
11320,"폭력","발생",2456,2017,"서울특별시 도봉구"
11110,"절도","발생",1801,2018,"서울특별시 종로구"
11140,"절도","발생",1855,2018,"서울특별시 중구"
11410,"절도","발생",2119,2018,"서울특별시 서대문구"
11170,"절도","발생",2153,2018,"서울특별시 용산구"
11290,"절도","발생",1657,2018,"서울특별시 성북구"
11230,"절도","발생",2504,2018,"서울특별시 동대문구"
11440,"절도","발생",3068,2018,"서울특별시 마포구"
11560,"절도","발생",3349,2018,"서울특별시 영등포구"
11200,"절도","발생",2056,2018,"서울특별시 성동구"
11590,"절도","발생",2208,2018,"서울특별시 동작구"
11215,"절도","발생",2826,2018,"서울특별시 광진구"
11380,"절도","발생",1562,2018,"서울특별시 은평구"
11305,"절도","발생",2169,2018,"서울특별시 강북구"
11545,"절도","발생",2225,2018,"서울특별시 금천구"
11260,"절도","발생",2583,2018,"서울특별시 중랑구"
11680,"절도","발생",3077,2018,"서울특별시 강남구"
11620,"절도","발생",3069,2018,"서울특별시 관악구"
11500,"절도","발생",2781,2018,"서울특별시 강서구"
11530,"절도","발생",2774,2018,"서울특별시 구로구"
11650,"절도","발생",2539,2018,"서울특별시 서초구"
11470,"절도","발생",2441,2018,"서울특별시 양천구"
11710,"절도","발생",3409,2018,"서울특별시 송파구"
11350,"절도","발생",2479,2018,"서울특별시 노원구"
11320,"절도","발생",1838,2018,"서울특별시 도봉구"
11110,"절도","발생",1971,2017,"서울특별시 종로구"
11140,"절도","발생",1846,2017,"서울특별시 중구"
11410,"절도","발생",2291,2017,"서울특별시 서대문구"
11170,"절도","발생",2407,2017,"서울특별시 용산구"
11290,"절도","발생",1762,2017,"서울특별시 성북구"
11230,"절도","발생",2608,2017,"서울특별시 동대문구"
11440,"절도","발생",3155,2017,"서울특별시 마포구"
11560,"절도","발생",3365,2017,"서울특별시 영등포구"
11200,"절도","발생",2133,2017,"서울특별시 성동구"
11590,"절도","발생",2287,2017,"서울특별시 동작구"
11215,"절도","발생",3281,2017,"서울특별시 광진구"
