"no","name","code","type","address","lng","lat","sigudong"
1,"상도건영아파트",21,"대기오염","서울특별시 동작구 상도동 414번지 ",126.949774021816,37.5071679625468,"서울특별시 동작구 상도동"
2,"현대자동차(주)남부사업소",21,"대기오염","서울특별시 동작구 대방동 70-1번지 ",126.932762457264,37.5139965055722,"서울특별시 동작구 대방동"
4,"경동자동차공업사",22,"수질오염","서울특별시 동작구 대방동 405-14번지 ",126.927614184452,37.4995118812146,"서울특별시 동작구 대방동"
5,"원일세차장",22,"수질오염","서울특별시 동작구 사당동 164-56  번지 ",126.974833027259,37.4872194757009,"서울특별시 동작구 사당동"
6,"대영자동차공업사",22,"수질오염","서울특별시 동작구 대방동 397-10번지 ",126.922842276034,37.5000719895779,"서울특별시 동작구 대방동"
7,"노량진수산(주)",22,"수질오염","서울특별시 동작구 노량진동 13-8번지 ",126.942059018264,37.5153250062541,"서울특별시 동작구 노량진동"
8,"만도자동차공업사",22,"수질오염","서울특별시 동작구 신대방동 692-54  번지 ",126.911979493185,37.4876009484357,"서울특별시 동작구 신대방동"
9,"서경손세차장",22,"수질오염","서울특별시 동작구 신대방동 687-13번지 ",126.908325185509,37.4879461385853,"서울특별시 동작구 신대방동"
10,"대방동청소차고",22,"수질오염","서울특별시 동작구 대방동 67-1번지 ",126.930927452442,37.5138842628831,"서울특별시 동작구 대방동"
11,"대양세차장",22,"수질오염","서울특별시 동작구 대방동 401-27번지 ",126.92174532163,37.4996234680679,"서울특별시 동작구 대방동"
12,"동작소방서",22,"수질오염","서울특별시 동작구 신대방동 460-19번지 ",126.916773711571,37.4947236414312,"서울특별시 동작구 신대방동"
13,"SK글로벌(주)21세기주유소",22,"수질오염","서울특별시 동작구 신대방동 686-44번지 ",126.905644282746,37.4871208672869,"서울특별시 동작구 신대방동"
14,"의료법인성석의료재단동작순천향병원",22,"수질오염","서울특별시 동작구 상도동 188-19번지 ",126.93582603194,37.502536258492,"서울특별시 동작구 상도동"
15,"SK글로벌(주)흑석동주유소",22,"수질오염","서울특별시 동작구 흑석동 9-46번지 ",126.965268162263,37.5080132709804,"서울특별시 동작구 흑석동"
16,"SK글로벌(주)21세기주유소",22,"수질오염","서울특별시 동작구 신대방동 686-44번지 ",126.905644282746,37.4871208672869,"서울특별시 동작구 신대방동"
17,"서경손세차장",22,"수질오염","서울특별시 동작구 신대방동 687-13번지 ",126.908325185509,37.4879461385853,"서울특별시 동작구 신대방동"
18,"대양세차장",22,"수질오염","서울특별시 동작구 대방동 401-27번지 ",126.92174532163,37.4996234680679,"서울특별시 동작구 대방동"
19,"노량진수산(주)",22,"수질오염","서울특별시 동작구 노량진동 13-8번지 ",126.942059018264,37.5153250062541,"서울특별시 동작구 노량진동"
20,"금양자동차공업사",22,"수질오염","서울특별시 동작구 상도동 56-157번지 ",126.953365825901,37.4995940509505,"서울특별시 동작구 상도동"
21,"대방자동차공업사",22,"수질오염","서울특별시 동작구 상도동 363-195번지 ",126.93621302871,37.5056042111349,"서울특별시 동작구 상도동"
23,"현대주유소",22,"수질오염","서울특별시 동작구 상도동 353-2번지 ",126.933525737672,37.5012312312456,"서울특별시 동작구 상도동"
24,"현대자동차(주)남부사업소",21,"대기오염","서울특별시 동작구 대방동 70-1번지 ",126.932762457264,37.5139965055722,"서울특별시 동작구 대방동"
26,"밤골카센타",21,"대기오염","서울특별시 동작구 상도동 27-13번지 ",126.942614691457,37.5050479702678,"서울특별시 동작구 상도동"
